THD Ratio -> Specify Data Points,,
DUT_WA001,,
X,Y,
Hz,%,
100,35.60145315,
106,32.8938093,
112,52.46766764,
118,50.92917348,
125,52.27381522,
132,32.37327552,
140,31.353359,
150,14.30665929,
160,15.94634817,
170,8.569044472,
180,11.45302283,
190,23.23871637,
200,14.05095275,
212,19.23360164,
224,18.16405475,
236,17.08167552,
250,20.35425389,
265,21.25141612,
280,22.29888886,
300,20.33423307,
315,21.18084205,
335,19.0202654,
355,15.94979762,
375,13.97925663,
400,13.62827835,
425,10.86496935,
450,9.277638765,
475,8.750310204,
500,7.300092292,
530,5.298647411,
560,4.401018481,
600,4.097315161,
630,4.034523733,
670,4.322459133,
710,4.829381312,
750,5.311216146,
800,5.653748935,
850,5.247254719,
900,6.037361604,
950,5.558616401,
1000,5.026366091,
1060,5.400425598,
1120,4.980230923,
1180,4.163318408,
1250,4.332553711,
1320,4.561737224,
1400,4.794813817,
1500,4.411674796,
1600,2.930293005,
1700,2.192184289,
1800,1.872580094,
1900,2.567434242,
2000,3.39618204,
2120,5.596972498,
2240,6.970238055,
2360,7.850904996,
2500,7.838376915,
2650,4.602382751,
2800,3.771081288,
3000,9.794970256,
3150,39.72344365,
3350,43.60396519,
3550,26.82594495,
3750,30.56202231,
4000,13.65515228,
4250,5.928327687,
4500,2.673797548,
4750,1.188919916,
5000,0.614175319,
5300,0.402987036,
5600,0.212989032,
6000,0.215174325,
6300,0.234730834,
6700,0.40029273,
7100,0.417244237,
7500,0.364413462,
8000,0.38504325,
8500,0.239155422,
9000,0.146742077,
9500,0.167780944,
10000,0.330160962,
,,
THD Ratio -> Specify Data Points,,
DUT_WA002,,
X,Y,
Hz,%,
100,8.777114943,
106,5.71037061,
112,3.71248319,
118,4.049041107,
125,3.392356912,
132,3.263814538,
140,3.270749249,
150,5.262357942,
160,5.036953921,
170,4.805200688,
180,6.773325527,
190,9.307881965,
200,7.292178526,
212,13.13247048,
224,15.96703363,
236,14.23773714,
250,54.27697338,
265,16.13967819,
280,19.56569548,
300,18.67417742,
315,28.66360453,
335,22.30858905,
355,17.10175922,
375,14.35318704,
400,14.81841141,
425,11.77882768,
450,9.794283237,
475,8.831749013,
500,7.398950091,
530,65.5434918,
560,4.476506196,
600,4.229162855,
630,4.142756893,
670,4.312588857,
710,4.938306034,
750,5.283714861,
800,5.594871661,
850,5.283467847,
900,5.951160883,
950,5.401541879,
1000,4.796235521,
1060,5.173509399,
1120,4.953613808,
1180,4.119577222,
1250,4.472171823,
1320,4.552390866,
1400,4.843805659,
1500,4.607289704,
1600,2.795301276,
1700,2.210584938,
1800,1.709183346,
1900,2.568280177,
2000,3.246006423,
2120,5.654375579,
2240,6.710820694,
2360,7.751946968,
2500,7.741888843,
2650,4.532685502,
2800,3.778360862,
3000,10.03860968,
3150,40.56731539,
3350,74.55221923,
3550,77.04565286,
3750,31.57173333,
4000,14.14304526,
4250,6.211744629,
4500,2.847679337,
4750,1.20417164,
5000,0.61309971,
5300,0.407304649,
5600,0.212399578,
